제목,저자,번역,출간일,쪽수,판매가
"STEM CookBook, 재료역학(2판)","Anthony Bedford , Kenneth M. Liechti","정광영 , 김형종 , 마정범 , 최정호 , 홍석무",2021-01-20,840,38000
창업을 디자인하라(2판),유순근,-,2021-01-20,505,29000
"IT CookBook, 디지털 회로 실험 with PSpice",홍순관,-,2021-01-15,396,22000
데이터 과학을 위한 기초수학 with 파이썬,이병준,-,2021-01-06,448,26000
미분적분학 : 대학수학의 첫걸음,수학교재편찬위원회,-,2021-01-06,620,28000
제대로 시작하는 기초 통계학 : Excel 활용 (2판),노경섭,-,2021-01-06,364,25000
친절한 미분적분학,"캐럴 애시, 로버트 B. 애시","김광수 , 한빛수학교재연구소",2021-01-06,688,32000
"IT CookBook, 4차 산업혁명과 정보통신의 이해","김정섭 , 이호상 , 양인창",-,2021-01-05,448,25000
"IT CookBook, C# 프로그래밍 2판",윤인성,-,2021-01-05,580,26000
"IT CookBook, 게임 제작으로 배우는 유니티","이종원 , 정종필",-,2021-01-05,496,30000
"IT CookBook, 난생처음 R 코딩 & 데이터 분석","오세종 , 신현석",-,2021-01-05,496,25000
"IT CookBook, 난생처음 인공지능 with 스크래치",고광일,-,2021-01-05,364,23000
"IT CookBook, 난생처음 컴퓨팅 사고 with 파이썬",김명호,-,2021-01-05,460,23000
"IT CookBook, 초융합 시대의 멀티미디어와 콘텐츠","김용태 , 박길철",-,2021-01-05,516,29000
"IT CookBook, 파이썬으로 만드는 인공지능","오일석 , 이진선",-,2021-01-05,608,31000
"IT CookBook, 핵심이 보이는 전자기학",김성중,-,2021-01-04,548,28000
"Statics and Mechanics of Materials, 3rd Edition","Ferdinand Beer , E. Johnston , John DeWolf , David Mazurek",-,2021-01-01,864,45000
"IT CookBook, 데이터 과학 기반의 파이썬 빅데이터 분석",이지영,-,2020-12-30,440,28000
"IT CookBook, 전자기학 : 풍부한 그림으로 형상화하여 이해하는 전자기학의 핵심",김동명,-,2020-12-17,688,38000
"IT CookBook, 쉽게 배우는 자바 프로그래밍 2판",우종정,-,2020-11-22,780,29000
포르잔 C++ 에센셜,"Behrouz A. Forouzan , Richard F. Gilberg",윤인성,2020-11-10,756,32000
플랫폼 비즈니스를 위한 경영정보시스템,"정창근 , 김종락 , 김시영",-,2020-10-20,522,29000
"IT CookBook, 액세스 2019로 배우는 데이터베이스 기초와 실습",김지연,-,2020-09-28,536,28000
뉴 머신시대의 기업가정신을 찾아서,이건창,-,2020-09-20,180,18000
세계화와 지역화 : 한국의 선택은?,황해두,-,2020-09-10,256,17000
포르잔 C++ 바이블,"Behrouz A. Forouzan , Richard F. Gilberg",윤인성,2020-08-31,1192,45000
4차산업혁명시대의 창업실무,"조보상 , 윤두열",-,2020-08-26,468,28000
딥러닝을 위한 선형대수학,Gilbert Strang,부산대학교 산업수학센터(FFMIMC),2020-08-05,560,38000
"IT CookBook, 오라클로 배우는 데이터베이스 개론과 실습(2판)","박우창 , 남송휘 , 이현룡",-,2020-07-30,600,29000
대학을 버려야 대학이 산다,조동성 외 인천대학교 가족 178명,-,2020-07-25,216,18000
"IT CookBook, 따라 하면서 배우는 사물인터넷",양재삼,-,2020-07-23,448,28000
R로 하는 다변량 데이터 분석 : 이론부터 실무 활용까지,"카와하시 잇코 , 이와마 노리카즈 , 스즈키 마사유키",권기태,2020-07-10,544,32000
창의적 공학설계(3판),김은경,-,2020-07-10,408,23000
공학 핵심수학(2판)  : 기초부터 심화까지 핵심만 쏙쏙,함남우,-,2020-07-06,484,23000
응용이 보이는 선형대수학 : 파이썬과 함께하는 선형대수학 이론과 응용,이건명,-,2020-07-06,592,31000
"IT CookBook, 초연결 사회의 데이터통신과 네트워킹",강문식,-,2020-06-30,504,29000
"IT CookBook, 쉽게 배우는 MFC 윈도우 프로그래밍","김선우 , 신화선",-,2020-06-20,772,30000
"IT CookBook, 인공지능 시대를 위한 컴퓨터 과학 개론",정기철,-,2020-06-19,520,27000
"IT CookBook, 코틀린을 활용한 안드로이드 프로그래밍","우재남 , 유혜림",-,2020-06-19,564,34000
"IT CookBook, 처음 만나는 신재생에너지",김지홍,-,2020-06-10,388,25000
프리드버그 선형대수학,"스티븐 H. 프리드버그 , 아놀드 J. 인셀 , 로렌스 E. 스펜스","한빛수학교재연구소 , 심형보(감수)",2020-06-05,616,35000
"IT CookBook, CentOS 리눅스",이종원,-,2020-05-30,792,32000
"Microeconomics, 6th Edition, Asia Edition","David Besanko , Ronald Braeutigam",-,2020-05-01,856,49000
정서노동과 행복,이동명,-,2020-04-30,364,23000
누구나 파이썬 통계분석,타니아이 히로키,권기태,2020-04-06,384,26000
4차산업혁명시대 신노사관계론,정형일,-,2020-03-25,592,30000
회계원리,"김확열 , 최상문",-,2020-03-10,186,13000
제대로 배우는 MATLAB&Simulink,방성완,-,2020-03-05,576,29000
의료관광론,고태규,-,2020-03-01,348,25000
공학도를 위한 경영 : 4차 산업혁명 시대,하귀룡,-,2020-02-28,348,25000
EXCEL로 구현해 보는 행렬회계,정용기,-,2020-02-25,552,30000
벤처창업과 투자전략(개정판),정종용,-,2020-02-25,336,22000
최신 마케팅,"고인곤 , 성정연 , 이성철 , 이승희 , 장형유 , 허남일",-,2020-02-25,500,30000
"SWedu 011, 앱 인벤터(2판) : 쉽고 재미있게 만드는 앱 프로그래밍",이종원,-,2020-02-21,408,24000
"IT CookBook, 컴파일러의 이해 : 내공 있는 프로그래머로 길러주는 (증보판)",박두순,-,2020-02-20,508,27000
"IT CookBook, 운영체제론 : Operating Systems, 3rd Ed","하비 디텔 , 폴 디텔 , 데이빗 쇼픈스",송경희,2020-01-30,860,32000
처음 배우는 통계학,"이호선 , 유현미 , 김종배",-,2020-01-20,404,27000
기초수학 : Basic Mathematics(2판),이재원,-,2020-01-10,312,20000
"IT CookBook, 4차 산업혁명 시대의 정보통신개론",고응남,-,2020-01-06,600,25000
"IT CookBook, UI 디자인과 프로토타이핑을 위한 Adobe XD",이영주,-,2020-01-06,552,27000
"IT CookBook, UI/UX 디자인 이론과 실습 with Adobe XD",이영주,-,2020-01-06,560,28000
"IT CookBook, 객체 지향 설계와 분석을 위한 UML 기초와 응용","한정수 , 김귀정",-,2020-01-06,336,24000
"IT CookBook, 리눅스 실습 for Beginner",우재남,-,2020-01-06,488,24000
"IT CookBook, 비주얼 베이직 2019 입문",임관철,-,2020-01-06,436,25000
"IT CookBook, 스크래치로 배우는 컴퓨팅 사고","조성호 , 고광일",-,2020-01-06,384,21000
"IT CookBook, 엑셀로 배우는 데이터 분석",박주미,-,2020-01-06,480,21000
"IT CookBook, 초연결 사회를 위한 컴퓨터 개론",조성호,-,2020-01-06,538,26000
NO BULLSHIT 선형대수학 가이드,Ivan Savov,"김대정 , 모현선 , 배준우",2020-01-06,628,28000
NO BULLSHIT 수학&물리 가이드,Ivan Savov,권기영,2020-01-06,568,28000
정보교과교육론(2판),"이태욱 , 최현종 , 전용주",-,2020-01-06,464,27000
실무로 완성하는 PLC(멜섹Q) : 서보를 이용한 위치 제어,정완보,-,2020-01-02,568,28000
"College Physics, 5th Edition",Alan Giambattista,-,2020-01-01,1232,52000
Stata로 끝내는 논문,정규형,-,2019-12-09,372,25000
"Business Statistics: For Contemporary Decision Making, 10th Edition, Asia Edition",Ken Black,-,2019-12-01,832,49000
"IT CookBook, 유닉스 이론과 실습(3판)","이종원 , 윤소정",-,2019-11-13,568,25000
"IT CookBook, 경영경제통계학",유영태,-,2019-10-18,472,28000
"Swedu, 정보적 사고에서 인공 지능까지",김현철,-,2019-09-28,184,19000
"IT CookBook, 문제 해결력을 키우는 디자인 씽킹","이정현 , 송태란",-,2019-09-10,300,22000
광고론,김종배,-,2019-09-10,446,30000
직무·인사시스템과 인적자원관리,이춘우,-,2019-09-10,678,32000
경영이란 무엇인가,이건창,-,2019-08-31,200,20000
K-IFRS 회계 트래킹,최진현,-,2019-08-30,412,25000
자재 재고관리 이론과 실제,김정,-,2019-08-25,181,15000
"IT CookBook, 모두를 위한 R 데이터 분석 입문",오세종,-,2019-08-24,480,26000
경영조직론,"변상우 , 박형근",-,2019-08-20,382,27000
쉽고 재미있는 창업회계,"정재권 , 이장희 , 곽종민",-,2019-08-20,410,28000
의사결정을 위한 현대통계학,"강병서 , 조철호 , 이은지 , 김병희",-,2019-08-20,549,30000
인적자원관리,"변상우 , 윤두열",-,2019-08-20,475,28000
인적자원관리론,"양춘희 , 신형재 , 권용만 , 정용배",-,2019-08-20,372,27000
"IT CookBook, 최신 컴퓨터 구조","임석구 , 홍경호",-,2019-08-17,616,28000
"IT CookBook , MySQL로 배우는 데이터베이스 개론과 실습","박우창 , 남송휘 , 이현룡",-,2019-08-15,572,27000
그림으로 배우는 기초통계학(제4판),박상규,-,2019-08-10,410,27000
빅데이터 마케팅과의 융합을 위한 고객관계관리(제4판),"김승욱 , 강기두 , 김민철",-,2019-08-10,376,26000
"IT CookBook, HTML5 웹 프로그래밍 입문(3판)",윤인성,-,2019-07-20,488,26000
"IT CookBook, 컴퓨터 활용과 실습 2016",김주영,-,2019-07-15,520,24000
"IT Cookbook, 처음 만나는 전자회로",황형수,-,2019-07-10,440,24000
스트랭 미분방정식과 선형대수학,Gilbert Strang,한빛수학교재연구소,2019-07-09,552,30000
"IT CookBook, 네트워크 개론(3판)",진혜진,-,2019-07-05,516,25000
"IT CookBook, 텐서플로로 배우는 딥러닝","박혜정 , 석경하 , 심주용 , 황창하",-,2019-06-30,448,27000
"IT CookBook, 파워포인트 2016",김지연,-,2019-06-29,420,19000
